strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pango_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing	sampling_strategy	missing_data	divergence	nonACGTN	rare_mutations	snp_clusters	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_snp_clusters	clock_deviation	batch1	batch2	batch3	batch4	batch5	batch6	batch7	batch8	batch9	batch10	root_ref
Pakistan/JRCGR-KHI05/2020	betacoronavirus	EPI_ISL_779255	?	2020-05-20	Asia	Pakistan	Karachi		Asia	Pakistan	Karachi	genome	29903	Human	unknown	unknown	?	B.1	GH	Jamil-ur-Rahman Center for Genome Research,  Dr. Panjwani Center for Molecular Medicine and Drug Research	Jamil-ur-Rahman Center for Genome Research,  Dr. Panjwani Center for Molecular Medicine and Drug Research	Shakeel, M., Irfan, M., Nisa, Z., Rashid, M., Ansari, S., Khan, I.	https://www.gisaid.org/	?	?	2021-01-05	?												no	no	no	no	no	no	no	no	yes	no	no
UnitedArabEmirates/0653/2020	betacoronavirus	EPI_ISL_698808	?	2020-05-15	Asia	United Arab Emirates	Abu Dhabi		Asia	United Arab Emirates	Abu Dhabi	genome	29891	Human	unknown	unknown	?	B.1	G	Group 42 (G42) Healthcare, Abu Dhabi, United Arab Emirates; Department of Health, The United Arab Emirates	G42 Healthcare	Rong Liu, Pei Wu, Sally Mahmoud, Ke Liang, Pauline Ogrodzki, Pengjuan Liu, Stephen S. Francis, Tao Ma, Hanif Khalak, Fang Chen, Denghui Liu, Junhua Li, Weibin Liu, Wenjun He, Xinyu Huang, Zhaorong Yuan, Long Lin, Nan Qiao, Xin Meng, Budoor Alqarni, Javier Quilez, Vinay Kusuma, Xin Jin, Xavier Anton, Ashish Koshy, Huanming Yang, Xun Xu, Jian Wang, Peng Xiao, Nawal Ahmed Mohamed Al Kaabi, Mohammed Saifuddin Fasihuddin, Siyang Liu, Walid Abbas Zaher	https://www.gisaid.org/	?	?	2020-12-13	?												no	no	no	no	no	no	no	no	yes	no	no
Gabon/6739-IKJ1/2020	betacoronavirus	EPI_ISL_8886143	?	2020-07-02	Africa	Gabon	Haut-Ogooue		Africa	Gabon	Haut-Ogooue	genome	29323	Human	34	Female	?	Unassigned	GR	Centre Interdisciplinaire de Recherches Médicales de Franceville (CIRMF)	Institut Hospitalo-Universitaire - Méditerranée Infection	Sonia Etenna Lekana-Douki, Nadine N’dilimabaka, Anthony Levasseur, Philippe Colson, Julia Cyrielle Andeko, Ornella Zong Minko, Octavie Banga Mve-Ella, Pierre-Edouard Fournier, Christian Devaux, Bertrand Mve Ondo, Falone Larissa Akombi, Laurianne Yacka Mouele Bolo,  Audrey Michel Ngonga Dikongo, Abdoulaye Diané, Arsène Mabika Mabika, Jenny Francine Matouhet, Cresh Dzembo, Nick Chenis Atiga, Anicet Mouity Matoumba, Nal Kennedy Ndjangangoye, Ludvine Brevard, Marielle Bedotto, Joa Braithe Mangombi Pambou, Marisca Kandet Yattara, Elvire Anita Mbongo Nkama, Armel Mintsa Ndong, Ayola Akim Adegnika, Didier Raoult, Florence Fenollar, and Jean-Bernard Lekana-Douki	https://www.gisaid.org/	?	?	2022-01-20	?												yes	no	no	no	no	no	no	no	no	no	no
SouthAfrica/KRISP-0279/2020	betacoronavirus	EPI_ISL_482866	?	2020-06-16	Africa	South Africa	KwaZulu-Natal	eThekwini	Africa	South Africa	KwaZulu-Natal	genome	29813	Human	43	Female	?	B.1.1.56	GR	Molecular Diagnostics Services (MDS)	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J, Pillay S, Lessells R, Chimukangara B, Mdlalose K, York D, Khan S, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2020-07-06	?												no	yes	no	no	no	no	no	no	no	no	no
Japan/PG-6656/2020	betacoronavirus	EPI_ISL_687768	?	2020-07-09	Asia	Japan	Kanagawa		Asia	Japan	Kanagawa	genome	29766	Human	unknown	unknown	?	B.1.1.283	GR	Pathogen Genomics Center, National Institute of Infectious Diseases	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Makoto Kuroda	https://www.gisaid.org/	?	?	2020-12-10	?												no	no	no	no	no	no	yes	no	no	no	no
Thailand/CU-SI2012575-NST/2020	betacoronavirus	EPI_ISL_937536	?	2020-04-11	Asia	Thailand			Asia	Thailand		genome	29864	Human	50	Male	?	B.1	G	Thai Red Cross Emerging Infectious Diseases Health Science Centre, Chulalongkorn Hospital, Faculty of Medicine, Chulalongkorn University	Thai Red Cross Emerging Infectious Diseases Center and Faculty of Medicine, Chulalongkorn University	Opass Putcharoen, Watsamon Jantarabenjakul, Pattama Torvorapanit, Gompol Suwanpimolkul, Leilani Paitoonpong, Sopon Iamsirithaworn, Sininat Petcharat, Yutthana Joyjinda, Weenassarin Ampoot, Apaporn Rodpan, Thiravat Hemachudha, Supaporn Wacharapluesadee	https://www.gisaid.org/	?	?	2021-02-05	?												no	no	no	no	yes	no	no	no	no	no	no
DRC/16193/2020	betacoronavirus	EPI_ISL_2982623	?	2020-06-03	Africa	Democratic Republic of the Congo	Kinshasa		Africa	Democratic Republic of the Congo	Kinshasa	genome	29611	Human	15	Male	?	B.1.214	G	Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni, Edith Nkwembe, Eddy Kinganda-Lusamaki, Amuri Aziza, Francisca Muyembe Mawete, Emmanuel Lokilo Lofiko, Catherine Pratt, Matthias Pauthner, Josh Quick, Allison Black, James Hadfield, Trevor Bedford, Ian Goodfellow, Andrew Rambaut, Nick Loman, Kristian Andersen, Michael Wiley, Steve Ahuka-Mundeke, Jean-Jacques Muyembe Tamfum	https://www.gisaid.org/	?	?	2021-07-16	?												no	yes	no	no	no	no	no	no	no	no	no
BurkinaFaso/0777/2020	betacoronavirus	EPI_ISL_660445	?	2020-06-30	Africa	Burkina Faso	Batié		Africa	Burkina Faso	Batié	genome	29782	Human	38	Male	?	B.1	GH	Laboratoire de Microbiologie CHU Souro Sanou	Centre Muraz	Abdoul-Salam Ouedraogo, Yacouba Sawadogo, Essia Belarbi, Grit Schubert, Fabian Leendertz, Arsène Zongo, Soumeya Ouangraoua, Zekiba Tarnagda, Lassana Sangaré, Halidou Tinto	https://www.gisaid.org/	?	?	2020-11-26	?												no	yes	no	no	no	no	no	no	no	no	no
Gabon/L0696/2020	betacoronavirus	EPI_ISL_11522726	?	2020-05-05	Africa	Gabon	Lambarene		Africa	Gabon	Lambarene	genome	29903	Human	unknown	unknown	?	B.1.128	G	Centre de Recherches Medicales de Lambarene	Department of Emerging Infectious Diseases, Institute of Tropical Medicine, Nagasaki University	Haruka Abe, Yuri Ushijima, Rodrigue Bikangui, Georgelin Nguema Ondo, Bertrand Lell, Ayola A. Adegnika, Jiro Yasuda	https://www.gisaid.org/	?	?	2022-03-29	?												no	yes	no	no	no	no	no	no	no	no	no
Pakistan/KP-RMI-01/2020	betacoronavirus	EPI_ISL_632908	?	2020-04-01	Asia	Pakistan			Asia	Pakistan		genome	29899	Human	unknown	unknown	?	B.6	O	Genomic Sciences, Rehman Medical Institute	Genomic Sciences, Rehman Medical Institute	Ali, J., Afridi, U.K., Haider, S.A., Sabiha, B., Jan, H. and Jehanzeb, V.	https://www.gisaid.org/	?	?	2020-11-11	?												no	no	no	no	yes	no	no	no	no	no	no
SriLanka/CDR1885/2020	betacoronavirus	EPI_ISL_525476	?	2020-04-28	Asia	Sri Lanka	Colombo		Asia	Sri Lanka	Colombo	genome	29866	Human	93	Female	?	B.1	G	Centre for Dengue Research	Centre for Dengue Research	Chandima Jeewandara, Deshni Jayathilaka, Dinuka Ariyaratne, Laksiri Gomes, Diyanath Ranasinghe, Dinuka Guruge, Ruwan Wijayamuni, Gathsaurie Neelika Malavige	https://www.gisaid.org/	?	?	2020-08-31	?												no	no	no	no	no	yes	no	no	no	no	no
Israel/13077723/2020	betacoronavirus	EPI_ISL_447427	?	2020-04-03	Asia	Israel	Tel Aviv District		Asia	Israel	Tel Aviv District	genome	29782	Human	unknown	Male	?	B.1.362	GH	Clinical Microbiology Laboratory, Sheba Medical Center	Stern Lab	Stern Lab	https://www.gisaid.org/	?	?	2020-05-17	?												no	no	no	no	yes	no	no	no	no	no	no
Israel/HMO-VL-226854/2020	betacoronavirus	EPI_ISL_10125580	?	2020-07-01	Asia	Israel			Asia	Israel		genome	29825	Human	19	Male	?	B.1.1.50	GR	Hadassah Medical Center Clinical Virology Laboratory, Hadassah Ein Kerem	Hadassah Hebrew University Viral Sequencing Group, Hadassah Hebrew University Medical Center	Hadar Golan Berman, Esther Oiknine-Djian, Mila Rivkin, Sheera Adar, Dana G. Wolf	https://www.gisaid.org/	?	?	2022-02-21	?												no	no	no	no	no	no	yes	no	no	no	no
SouthAfrica/NHLS-UCT-LA-9009/2020	betacoronavirus	EPI_ISL_6914944	?	2020-03-21	Africa	South Africa	Western Cape		Africa	South Africa	Western Cape	genome	29784	Human	35	Female	?	B.39	V	Lancet	NHLS/UCT	Arash Iranzadeh, Deelan Doolabh, Lynn Tyers, Bruna Galvao, Innocent Mudau, Marvin Hsiao, Gert Marais, Diana Hardie, Stephen Korsman, Rageema Joseph, Carolyn Williamson	https://www.gisaid.org/	?	?	2021-12-01	?												no	yes	no	no	no	no	no	no	no	no	no
Iran/SA-Isf-42/2020	betacoronavirus	EPI_ISL_672594	?	2020-06-10	Asia	Iran			Asia	Iran		genome	2592	Human	unknown	unknown	?	Unassigned	O	Infectious Diseases and Tropical Medicine Research Center,  Infectious Diseases and Tropical Medicine Research Center	Infectious Diseases and Tropical Medicine Research Center,  Infectious Diseases and Tropical Medicine Research Center	Ahangarzadeh, S., Haghjooy Javanmard, S., Shoaei, P., Ataei, B., Shariati, L.	https://www.gisaid.org/	?	?	2020-12-03	?												no	no	no	no	no	no	no	yes	no	no	no
Kenya/MAL-5044/2020	betacoronavirus	EPI_ISL_2779502	?	2020-06-09	Africa	Kenya	Mombasa		Africa	Kenya	Mombasa	genome	29875	Human	21	Male	?	B.1.549	G	Port Health Clinic, Malaba border point	USAMRD-A, Basic Science Laboratory	Gathii Kimita, Josphat Nyataya, Esther Omuseni, Faith Sigei, Alan Lemtudo, Eric Muthanje, Brian Andika, Rehema Liyai, Rachel Githii, Clement Masakwe, Stephen Ochola, George Awinda, Carol Kifude, Beth Mutai, John Waitumbi	https://www.gisaid.org/	?	?	2021-07-02	?												no	yes	no	no	no	no	no	no	no	no	no
Zambia/ZMB-32059/2020	betacoronavirus	EPI_ISL_977401	?	2020-07-03	Africa	Zambia	Lusaka		Africa	Zambia	Lusaka	genome	29738	Human	40	Male	?	B.1.1.448	GR	University of Zambia, School of Veterinary Medicine	UNZAVET and PATH	Mulenga Mwenda-Chimfwembe, Ngonda Saasa, Daniel Bridges	https://www.gisaid.org/	?	?	2021-02-11	?												yes	no	no	no	no	no	no	no	no	no	no
Gambia/GC19-1983/2020	betacoronavirus	EPI_ISL_561038	?	2020-06-07	Africa	Gambia	Kombo		Africa	Gambia	Kombo	genome	29782	Human	38	Male	?	B.1.1	GR	MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay, Abdoulie Kanteh, Jarra Manneh, Mariama Kujabi, Bakary Sanyang	https://www.gisaid.org/	?	?	2020-09-30	?												no	yes	no	no	no	no	no	no	no	no	no
Madagascar/IPM-10687/2020	betacoronavirus	EPI_ISL_3716421	?	2020-05-26	Africa	Madagascar	Antananarivo	Analamanga	Africa	Madagascar	Antananarivo	genome	29826	Human	38	Male	?	B.1.1.241	GR	Virology Unit, Institut Pasteur de Madagascar	Institut Pateur de Dakar	Norosoa Razanajatovo, Cara E. Brook, Diagne Moussa Moïse, Diallo Amadou, Dia Ndongo, Christian Ranaivoson, Soa Fy Andriamandimby, Vololoniaina Raharinosy, Sankhe Safietou, Ndiaye Ndack, Tsiry Randriambolamanantsoa, Helisoa Razafimanjato, Jean-Michel Heraud, Loucoubar Cheikh, Faye Ousmane, Sall Amadou Alpha, Philippe Dussart	https://www.gisaid.org/	?	?	2021-08-26	?												no	yes	no	no	no	no	no	no	no	no	no
Gambia/NPHL-1208/2020	betacoronavirus	EPI_ISL_561213	?	2020-06-30	Africa	Gambia	Kombo		Africa	Gambia	Kombo	genome	29611	Human	47	Male	?	B.1.416	G	MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay, Abdoulie Kanteh, Jarra Manneh, Mariama Kujabi, Bakary Sanyang	https://www.gisaid.org/	?	?	2020-09-30	?												no	yes	no	no	no	no	no	no	no	no	no
SouthAfrica/Tygerberg_260/2020	betacoronavirus	EPI_ISL_3068130	?	2020-05-08	Africa	South Africa	Western Cape	Cape Town Metro	Africa	South Africa	Western Cape	genome	29782	Human	23	Male	?	B.1.1.459	GR	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, Stellenbosch University and NHLS Tygerberg Hospital	Susan Engelbrecht, Bronwyn Kleinhans, Kayla Delaney, Gert van Zyl, Wolfgang Preiser	https://www.gisaid.org/	?	?	2021-07-24	?												no	yes	no	no	no	no	no	no	no	no	no
SouthAfrica/Tygerberg_113/2020	betacoronavirus	EPI_ISL_3068089	?	2020-04-22	Africa	South Africa	Western Cape	Cape Town Metro	Africa	South Africa	Western Cape	genome	29782	Human	26	Female	?	B.1.1.34	GR	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, Stellenbosch University and NHLS Tygerberg Hospital	Susan Engelbrecht, Bronwyn Kleinhans, Kayla Delaney, Gert van Zyl, Wolfgang Preiser	https://www.gisaid.org/	?	?	2021-07-24	?												no	yes	no	no	no	no	no	no	no	no	no
HongKong/HKU-201216-016/2020	betacoronavirus	EPI_ISL_1034659	?	2020-06-26	Asia	Hong Kong			Asia	Hong Kong		genome	29782	Human	unknown	unknown	?	B.1.1.63	GR	Department of Microbiology, The University of Hong Kong	Department of Microbiology, The University of Hong Kong	Kelvin K.W. To, Kwok-Yung Yuen	https://www.gisaid.org/	?	?	2021-02-19	?												no	no	no	no	no	no	no	yes	no	no	no
HongKong/HKU-200723-015/2020	betacoronavirus	EPI_ISL_497782	?	2020-07-07	Asia	Hong Kong			Asia	Hong Kong		genome	29782	Human	unknown	unknown	?	B.1.459	GH	Department of Microbiology, The University of Hong Kong	Department of Microbiology, The University of Hong Kong	Kelvin K.W. To, Kwok-Yung Yuen	https://www.gisaid.org/	?	?	2020-07-25	?												no	no	no	no	no	no	yes	no	no	no	no
SouthAfrica/Tygerberg_115/2020	betacoronavirus	EPI_ISL_3067996	?	2020-04-23	Africa	South Africa	Western Cape	Cape Winelands	Africa	South Africa	Western Cape	genome	29782	Human	30	Male	?	B.1.1.409	GR	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, Stellenbosch University and NHLS Tygerberg Hospital	Susan Engelbrecht, Bronwyn Kleinhans, Kayla Delaney, Gert van Zyl, Wolfgang Preiser	https://www.gisaid.org/	?	?	2021-07-24	?												no	yes	no	no	no	no	no	no	no	no	no
Taiwan/TSGH-22/2020	betacoronavirus	EPI_ISL_436107	?	2020-03-31	Asia	Taiwan	New Taipei City		Asia	Taiwan	New Taipei City	genome	29975	Human	25	Male	?	B.1.369	GH	TSGH-CP molecular lab	TSGH-CP molecular lab	Cherng-Lih Perng, Ming-Jr JIAN, Chih-Kai Chang, Jung-Chung Lin, Kuo-Ming Yeh, Chien-Wen Chen, Sheng-Kang Chiu, Hsing-Yi Chung, Shih-Hung Tsai, Kuo-Sheng Hung, Tien-Yao Chang, Feng-Yee Chang, Hung-Sheng Shang	https://www.gisaid.org/	?	?	2020-05-06	?												no	no	no	no	yes	no	no	no	no	no	no
SouthAfrica/NHLS-UCT-GP-5156/2020	betacoronavirus	EPI_ISL_700454	?	2020-04-21	Africa	South Africa	Western Cape	Klipfontein	Africa	South Africa	Western Cape	genome	29831	Human	14	Female	?	B.1.381	G	Heideveld CDC wc HVP	NHLS/UCT	Arash Iranzadeh, Deelan Doolabh, Lynn Tyers, Bruna Galvao, Innocent Mudau, Marvin Hsiao, Kruger Marais, Diana Hardie, Stephen Korsman, Carolyn Williamson	https://www.gisaid.org/	?	?	2020-12-14	?												no	yes	no	no	no	no	no	no	no	no	no
Maldives/MAV02981/2020	betacoronavirus	EPI_ISL_3275387	?	2020-07-19	Asia	Maldives			Asia	Maldives		genome	29866	Human	unknown	Male	?	B.1	G	Indira Gandhi Memorial Hospital	Indira Gandhi Memorial Hospital	Dr. Milza Abdul Muhsin; Ms. Aminath Nazfa ; Ms. Aishath Shuhudha; Ms. Fathimath Zimna ;Mr. Ibrahim Nishan Ahmed	https://www.gisaid.org/	?	?	2021-08-08	?												no	no	no	no	no	no	no	no	no	yes	no
Japan/PG-0543/2020	betacoronavirus	EPI_ISL_480199	?	2020-03-31	Asia	Japan	HokurikuShinsyu		Asia	Japan	HokurikuShinsyu	genome	29827	Human	unknown	unknown	?	B.1	G	Toyama Institute of Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Masae Itamochi, Kazunori Oishi, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Hajime Kamiya, Motoi Suzuki, Makoto Kuroda	https://www.gisaid.org/	?	?	2020-07-01	?												no	no	no	no	yes	no	no	no	no	no	no
Kenya/C37981/2020	betacoronavirus	EPI_ISL_806698	?	2020-07-27	Africa	Kenya	Lamu		Africa	Kenya	Lamu	genome	29761	Human	65	Male	?	N.8	GR	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	KEMRI-Wellcome Trust Research Programme/KEMRI-CGMR-C Kilifi	Githinji et al	https://www.gisaid.org/	?	?	2021-01-13	?												yes	no	no	no	no	no	no	no	no	no	no
DRC/214/2020	betacoronavirus	EPI_ISL_420030	?	2020-03-21	Africa	Democratic Republic of the Congo	Kinshasa		Africa	Democratic Republic of the Congo	Kinshasa	genome	29726	Human	unknown	Male	?	B.1.6	G	Viral Respiratory Lab, National Institute for Biomedical Research (INRB)	Pathogen Sequencing Lab, National Institute for Biomedical Research (INRB)	Placide Mbala-Kingebeni, Edith Nkwembe, Eddy Kinganda-Lusamaki, Amuri Aziza, Catherine Pratt, Matthias Pauthner, Josh Quick, Allison Black, James Hadfield, Trevor Bedford, Ian Goodfellow, Nick Loman, Kristian Andersen, Michael Wiley, Steve Ahuka-Mundeke, Jean-Jacques Muyembe Tamfum	https://www.gisaid.org/	?	?	2020-04-04	?												no	yes	no	no	no	no	no	no	no	no	no
India/MH-ACTREC-215/2020	betacoronavirus	EPI_ISL_699869	?	2020-06-29	Asia	India	Maharashtra	Raigad	Asia	India	Maharashtra	genome	29873	Human	27	Male	?	B.1.1.174	GR	Hematopathology Laboratory, ACTREC, TMC	Hematopathology Laboratory, ACTREC, TMC	Hematopathology Laboratory, ACTREC	https://www.gisaid.org/	?	?	2020-12-14	?												no	no	no	no	no	no	no	yes	no	no	no
Singapore/421/2020	betacoronavirus	EPI_ISL_475952	?	2020-04-09	Asia	Singapore			Asia	Singapore		genome	29841	Human	24	Male	?	A	S	National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Mak TM, Octavia S, Chavatte JM, Cui L, Lin RTP	https://www.gisaid.org/	?	?	2020-06-25	?												no	no	no	no	yes	no	no	no	no	no	no
Indonesia/JA-GS-EIJK-RSRM-0172/2020	betacoronavirus	EPI_ISL_5395771	?	2020-07-29	Asia	Indonesia	Jambi	Jambi	Asia	Indonesia	Jambi	genome	29769	Human	46	Female	?	AY.23	GK	Raden Mattaher Regional General Hospital (RSUD)	Eijkman Research Center for Molecular Biology, National Research and Innovation Agency; Raden Mattaher Regional General Hospital (RSUD)	Jessica R Saragih, Edison Johar, Muhammad Rezki Rasyak, Lidwina Priliani, Sukma Oktavianthi, Lydia V Panggalo, Willy Agustine, Iskandar Adnan, Sotianingsih, Fery Kusnadi, Yusnidar, Frilasita A Yudhaputri, Hidayat Trimarsanto, Safarina G Malik, Khin Saw Myint, Amin Soebandrio	https://www.gisaid.org/	?	?	2021-10-21	?												no	no	no	no	no	no	no	no	no	yes	no
Kuwait/KW-26A/2020	betacoronavirus	EPI_ISL_3298375	?	2020-06-23	Asia	Kuwait	Al Ahmadi Governorate		Asia	Kuwait	Al Ahmadi Governorate	genome	3822	Human	49	Male	?	Unassigned	G	Adan Hospital	Virology Unit, Department of Microbiology, Faculty of Medicine, Kuwait University, Kuwait	Nada Madi, Sahar Essa, Anfal Al-Adwani, Marwa Al-Khabbaz	https://www.gisaid.org/	?	?	2021-08-09	?												no	no	no	no	no	no	no	yes	no	no	no
Israel/CVL-n-7224/2020	betacoronavirus	EPI_ISL_474989	?	2020-04-11	Asia	Israel	Beit Shemesh		Asia	Israel	Beit Shemesh	genome	29903	Human	46	Male	?	B.36	V	Israel Central Virology laboratory	Israel Central Virology laboratory	Neta Zuckerman, Efrat Dahan Bucris, Oran Erster, Ella Mendelson, Michal Mandelboim	https://www.gisaid.org/	?	?	2020-06-23	?												no	no	no	no	yes	no	no	no	no	no	no
Senegal/9439/2020	betacoronavirus	EPI_ISL_486861	?	2020-04-25	Africa	Senegal	Dakar		Africa	Senegal	Dakar	genome	29812	Human	43	Male	?	B.1.1	GR	Institut Pasteur Dakar	Institut Pasteur de Dakar	Ndongo Dia, Moussa Moise Diagne, Mamadou Diop, Marie Henriette Dior Ndione, Mamadou Malado Jallow, Safietou Sanke, Ousmane Faye, Amadou Alpha Sall.	https://www.gisaid.org/	?	?	2020-07-12	?												no	yes	no	no	no	no	no	no	no	no	no
India/AP-CS0370/2020	betacoronavirus	EPI_ISL_862311	?	2020-07-04	Asia	India	Andhra Pradesh		Asia	India	Andhra Pradesh	genome	29858	Human	29	Female	?	B.1.540	G	Kurnool Medical College (KMC)	CSIR Institute of Genomics and Integrative Biology	Pallavali Roja Rani, Mohamed Imran, J. Vijaya Lakshmi, Bani Jolly, S. Afsar, Abhinav Jain, Mohit Kumar Divakar, Panyam Suresh, Disha Sharma, Nambi Rajesh, Rahul C Bhoyar, Dasari Ankaiah, Sanaga Shanthi Kumari, Gyan Ranjan, Valluri Anitha Lavanya, Mercy Rophina, S. Umadevi, Paras Sehgal, Avula Renuka Devi, A. Surekha, Pulala Chandra, Rajamadugu Hymavathy, P R Vanaja, Vinod Scaria, Sridhar Sivasubbu	https://www.gisaid.org/	?	?	2021-01-24	?												no	no	no	no	no	no	yes	no	no	no	no
Japan/PG-1360/2020	betacoronavirus	EPI_ISL_684968	?	2020-04-06	Asia	Japan	Saitama		Asia	Japan	Saitama	genome	29832	Human	unknown	unknown	?	B.1.1.283	GR	Saitama Prefectural Institute of Public Health	Pathogen Genomics Center, National Institute of Infectious Diseases	Tsuyoshi Sekizuka, Kentaro Itokawa, Rina Tanaka, Masanori Hashino, Makoto Kuroda	https://www.gisaid.org/	?	?	2020-12-10	?												no	no	no	no	yes	no	no	no	no	no	no
Philippines/022N/2020	betacoronavirus	EPI_ISL_410345	?	2020-01-23	Asia	Philippines			Asia	Philippines		genome	357	Human	unknown	unknown	?	Unassigned	O	Joanna Ina Manalo Research Institute for Tropical Medicine, Molecular Biology Laboratory	Joanna Ina Manalo Research Institute for Tropical Medicine, Molecular Biology Laboratory	Mercado, E.S., Manalo, J.I., Nicolasora, A.D., Medado, I.P., Tujan, M.A., Onza, O.T., Cruz, K.M. and Polotan, F.M.	https://www.gisaid.org/	?	?	2020-02-11	?												no	no	yes	yes	no	no	no	no	no	no	no
Nigeria/AK-CV324/2020	betacoronavirus	EPI_ISL_729994	?	2020-07-27	Africa	Nigeria	Akwa-Ibom State		Africa	Nigeria	Akwa-Ibom State	genome	29835	Human	35	Female	?	B.1	G	Nigeria Centre for Disease Control (NCDC)	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria	Oluniyi P.E. et al	https://www.gisaid.org/	?	?	2020-12-23	?												yes	no	no	no	no	no	no	no	no	no	no
SouthAfrica/KRISP-K002693/2020	betacoronavirus	EPI_ISL_535555	?	2020-07-27	Africa	South Africa	KwaZulu-Natal		Africa	South Africa	KwaZulu-Natal	genome	29860	Human	unknown	unknown	?	C.2	GR	NHLS-IALCH	KRISP, KZN Research Innovation and Sequencing Platform	Giandhari J, Pillay S, Lessells R, Mdlalose K, York D, Khan S, Tegally H, Wilkinson E, de Oliveira T	https://www.gisaid.org/	?	?	2020-09-15	?												yes	no	no	no	no	no	no	no	no	no	no
SouthAfrica/Tygerberg_242/2020	betacoronavirus	EPI_ISL_3068125	?	2020-05-07	Africa	South Africa	Western Cape	Cape Town Metro	Africa	South Africa	Western Cape	genome	29782	Human	35	Female	?	B.1.1	GR	Division of Medical Virology, National Health Laboratory Service (NHLS), Tygerberg Hospital / Stellenbosch University	Division of Medical Virology, Stellenbosch University and NHLS Tygerberg Hospital	Susan Engelbrecht, Bronwyn Kleinhans, Kayla Delaney, Gert van Zyl, Wolfgang Preiser	https://www.gisaid.org/	?	?	2021-07-24	?												no	yes	no	no	no	no	no	no	no	no	no
India/MP-DRDE-4624/2020	betacoronavirus	EPI_ISL_476896	?	2020-05-25	Asia	India	Madhya Pradesh		Asia	India	Madhya Pradesh	genome	29760	Human	70	Male	?	B.1.538	G	Defence Research & Development Establishment (DRDE)	Defence Research & Development Establishment (DRDE)	Shashi Sharma, Paban Kumar Dash, Sushil Kumar Sharma, Ambuj Shrivastava, Jyoti S. Kumar	https://www.gisaid.org/	?	?	2020-06-26	?												no	no	no	no	no	no	no	no	yes	no	no
Singapore/775/2020	betacoronavirus	EPI_ISL_509385	?	2020-07-13	Asia	Singapore			Asia	Singapore		genome	29782	Human	31	Male	?	B.1.240	G	Singapore General Hospital	Department of Microbiology	Nurdyana Abdul Rahman, Kun Lee Lim, Chenhao Li, Kian Sing Chan, Lynette Oon, Kern Rei Chng, Niranjan Nagarajan, Karrie Ko	https://www.gisaid.org/	?	?	2020-08-05	?												no	no	no	no	no	no	yes	no	no	no	no
Bangladesh/JUST-GC001/2020	betacoronavirus	EPI_ISL_447590	?	2020-05-06	Asia	Bangladesh	Khulna	Jhenaidah	Asia	Bangladesh	Khulna	genome	694	Human	35	Male	?	Unassigned	O	Genome Centre	Genome Centre	A. S. M. Rubayet Ul Alam, M. Rafiul Islam, M. Shaminur Rahman, Md. Tanvir Islam, Md. Shazid Hasan, Pravas Chandra Roy, Habiba Ibnat, MD. Ali Ahasan Setu, Tanay Chakrovarty, Sourav Dutta Dip, Ruhul Amin, Md Nur Kabidul Azam, Ovinu Kibria Islam, Hassan M. Al-Emran, Shireen Nigar, Selina Akter, Md. Nazmul Hasan, Iqbal Kabir Jahid, M. Anwar Hossain	https://www.gisaid.org/	?	?	2020-05-18	?												no	no	no	no	no	no	no	no	yes	no	no
SouthAfrica/NICD-N19705/2020	betacoronavirus	EPI_ISL_8182867	?	2020-06-30	Africa	South Africa	North West		Africa	South Africa	North West	genome	29781	Human	31	Female	?	B.1.1.53	GR	TSHEPONG LABORATORY	National Institute for Communicable Diseases of the National Health Laboratory Service	Amoako DG, Everatt J, Kekana D, Scheepers C, Mohale T, Ntuli N, Mahlangu B, Mnguni A, Ismail A, Bhiman JN, Wolter N	https://www.gisaid.org/	?	?	2021-12-29	?												no	yes	no	no	no	no	no	no	no	no	no
